1,Chen,OH,0.06,Tile,900,3.50,4.15,3150.00,3735.00,413.10,7298.10
2,Jason,MI,0.06,Carpet,900,2.25,2.10,5526.00,5157.60,641.02,11324.62
3,Chen,OH,0.06,Wood,900,5.15,4.75,2369.00,2185.00,273.24,4827.24
4,Obama,NY,0.09,Laminate,256,1.75,2.10,448.00,537.60,88.70,1074.30
5,MichelleObama,NY,0.09,Wood,28556,5.15,4.75,147063.40,135641.00,25443.40,308147.80
6,Warren,MI,0.06,Wood,23485,5.15,4.75,120947.75,111553.75,13950.09,246451.59
7,Chen,OH,0.06,Tile,900,3.50,4.15,3150.00,3735.00,413.10,7298.10
8,Jason,MI,0.06,Carpet,900,2.25,2.10,5526.00,5157.60,641.02,11324.62
9,Chen,OH,0.06,Wood,900,5.15,4.75,2369.00,2185.00,273.24,4827.24
10,Obama,NY,0.09,Laminate,256,1.75,2.10,448.00,537.60,88.70,1074.30
11,Michelle,NY,0.09,Wood,28556,5.15,4.75,1327948.10,1224806.50,229747.91,2782502.51
